Producto,Descripcion,FechaEntrega,Tratamiento,Monto,EstadoPago
Tenis,Tenis blancos de piel (Calvin Klein) material poroso y absorbente,2026-06-11,"Lavado delicado en seco con espuma, blanqueamiento de agujetas.",200.0,Pagado
Bolsa,bolsa de gamuza café,2026-06-11,"Lavado de forro interior a detalle, lavado de gamuza delicado y renovador de gamuza (aplicamos la promo 2x1 tenis + bolsa)",100.0,Pagado
